No.,Music(Eng),Music(JPN),Other name,Artist(Eng),Artist(JPN),BPM,Category,Version,Requirement,Easy,Basic,Advanced,Expert,Master,Re:Master,Add Date,Later Add Date,Rec. video,Memo,↓,Music(Eng),Music(JPN),Other name,Artist(Eng),Artist(JPN),BPM,Category,Version,Requirement,Easy,Basic,Advanced,Expert,Master,Re:Master,Add Date,Later Add Date,Memo,↑
156,YOSHIWARALAMENTO,吉原ラメント,-,Asa,亜沙,191,niconico&ボーカロイド,maimai MURASAKi,-,3,5,7+,10,12,-,18-Apr-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
157,KOKORO,ココロ,Heart,TORABORUTA,トラボルタ,140,niconico&ボーカロイド,maimai MURASAKi,-,1,4,6,8,10+,-,18-Apr-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
158,Please don't worry,ゆっくりしていってね！！！,Yukkuri shiteittene!,kyouken,今日犬,221,niconico&ボーカロイド,maimai MURASAKi,-,2,4,7,9+,11+,-,24-Jan-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
159,Living ghost is alive ,生きてるおばけは生きている,-,Utsu-P feat.flower,鬱P / Utsu-P feat.flower ,140,niconico&ボーカロイド,maimai MURASAKi,-,2,4,7,9,11+,-,24-Jan-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
160,Dance Orchestra ,踊れオーケストラ,Odore Orchestra ,YASUHIRO,YASUHIRO(康寛),180,niconico&ボーカロイド,maimai MURASAKi,-,2,5,6,8,10+,-,24-Jan-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
161,Balleriko,バレリーコ,-,MikitoP,みきとP,150,niconico&ボーカロイド,maimai MiLK,-,2,4,6,9,11+,-,5-Jun-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
162,Kunoichi demo Koi ga shitai,クノイチでも恋がしたい,A Female Ninja But I Want To Love,MikitoP,みきとP,185,niconico&ボーカロイド,maimai PiNK PLUS,-,2,5,7,9,11+,-,8-Sep-2016,-,Yes,-,,,,,,,,,,,,,,,,,,,,
163,iarufanclub,いーあるふぁんくらぶ,-,MikitoP,みきとP,145,niconico&ボーカロイド,maimai GreeN,-,2,4,6,7,10,11+,11-Jul-2013,7-Apr-2016,Yes,-,,,,,,,,,,,,,,,,,,,,
164,Sekishinsei: Kamatoto Araryoji,赤心性：カマトト荒療治,"Sincerity Habit Drastic Measures of Naivety, Sincerity Nature: Drastic Measures of Ignorance",Suzumu,スズム,205,niconico&ボーカロイド,maimai ORANGE PLUS,-,3,5,7,8,12,-,19-Mar-2015,-,Yes,-,,,,,,,,,,,,,,,,,,,,
165,Inokori Sensei,イノコリ先生,-,HoneyWorks,HoneyWorks,162,niconico&ボーカロイド,maimai PiNK,-,2,4,6,8,11,-,21-Jan-2016,-,Yes,-,,,,,,,,,,,,,,,,,,,,
166,ECHO,ECHO,-,CIRCRUSH,CIRCRUSH,140,niconico&ボーカロイド,maimai PiNK PLUS,-,2,4,6,9+,12,-,17-Nov-2016,-,Yes,-,,,,,,,,,,,,,,,,,,,,
167,SHINDESHIMAUTOWA NASAKEINAI!,しんでしまうとはなさけない！,Death Should Not Have Taken Thee!,WONODERFUL★OPPORTUNITY!,ワンダフル☆オポチュニティ！,174,niconico&ボーカロイド,maimai PiNK PLUS,-,2,5,7,8+,11+,-,11-Aug-2016,-,Yes,-,,,,,,,,,,,,,,,,,,,,
168,Kono Piano de Omae o 8759632145kai Bunnaguru,このピアノでお前を8759632145回ぶん殴る ,-,SLAVE.V-V-R,SLAVE.V-V-R,200,niconico&ボーカロイド,maimai MiLK PLUS,-,3,5,7,9+,12,-,20-Nov-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
169,YAMERO!KIKUNA!,やめろ！聴くな！,-,SLAVE.V-V-R,SLAVE.V-V-R,160,niconico&ボーカロイド,maimai PiNK PLUS,-,3,4,7,8+,11+,-,17-Nov-2016,-,Yes,-,,,,,,,,,,,,,,,,,,,,
170,TOKYO REAL WORLD,東京リアルワールド,-,out of survice,out of survice,150,niconico&ボーカロイド,maimai PiNK PLUS,-,2,4,6,7+,9+,-,11-Aug-2016,-,Yes,-,,,,,,,,,,,,,,,,,,,,
171,SLoWMoTIoN,すろぉもぉしょん,-,PinocchioP,ピノキオピー,160,niconico&ボーカロイド,maimai PiNK,-,2,4,6,8,11,-,10-Dec-2015,-,Yes,-,,,,,,,,,,,,,,,,,,,,
172,Tonchinkan no en,頓珍漢の宴,Tonchinkan Feast,PinocchioP,ピノキオピー,145,niconico&ボーカロイド,maimai PiNK,-,2,5,7+,9+,12+,-,7-Apr-2016,-,Yes,-,,,,,,,,,,,,,,,,,,,,
173,Arifureta sekai seifuku,ありふれたせかいせいふく,Common World Domination,PinocchioP,ピノキオピー,150,niconico&ボーカロイド,maimai PiNK,-,2,4,6,8,12,-,7-Apr-2016,-,Yes,-,,,,,,,,,,,,,,,,,,,,
174,My Old Friend Who Was Good At Drawing,絵の上手かった友達,-,PinocchioP,ピノキオピー,128,niconico&ボーカロイド,maimai PiNK,-,1,3,6,8,11+,-,7-Apr-2016,-,Yes,-,,,,,,,,,,,,,,,,,,,,
175,Kusare gedou to chocolate,腐れ外道とチョコレゐト,Rotten Heresy and Chocolate,PinocchioP,ピノキオP,260,niconico&ボーカロイド,maimai PLUS,-,2,6,8,10,12,-,13-Dec-2012,-,Yes,-,,,,,,,,,,,,,,,,,,,,
176,"Nice To Meet You, Mr. Earthling",はじめまして地球人さん,-,PinocchioP,ピノキオピー,175,niconico&ボーカロイド,maimai ORANGE PLUS,-,2,4,6,8+,11+,-,16-Jul-2015,-,Yes,-,,,,,,,,,,,,,,,,,,,,
177,Love! Snow! Really Magic!,好き！雪！本気マジック,-,Mitchie M,Mitchie M,167,niconico&ボーカロイド,maimai MiLK,-,2,4,6,9,11,-,9-Jan-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
178,Ageage Again,アゲアゲアゲイン,-,Mitchie M,Mitchie M,175,niconico&ボーカロイド,maimai GreeN PLUS,-,2,4,7,8+,10+,-,26-Feb-2014,-,Yes,-,,,,,,,,,,,,,,,,,,,,
179,M.S.S.Planet,M.S.S.Planet,-,M.S.S Project,M.S.S Project,145,niconico&ボーカロイド,maimai GreeN PLUS,-,2,4,6,9,11,-,20-Mar-2014,-,Yes,-,,,,,,,,,,,,,,,,,,,,
180,fumou!,不毛！,-,potential-0,ぽてんしゃる0,200,niconico&ボーカロイド,maimai ORANGE,-,2,4,7,8+,11,-,5-Feb-2015,-,Yes,-,,,,,,,,,,,,,,,,,,,,
181,The MMORPG Addict's Anthem,ネトゲ廃人シュプレヒコール,Online Game Addicts Sprechchor,TENKOMORI,さつき が てんこもり,175,niconico&ボーカロイド,maimai MURASAKi,-,2,4,7,9,12,-,6-Jun-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
182,Roshin Yukai,炉心融解,Meltdown,iroha(sasaki)／kuma(alfred),iroha(sasaki)／kuma(alfred),165,niconico&ボーカロイド,maimai MURASAKi,-,3,4,6,9+,11,-,6-Jun-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
183,StargazeR,StargazeR,-,KotsuBeirneP,骨盤P,195,niconico&ボーカロイド,maimai MURASAKi,-,2,4,6,9,11,-,6-Jun-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
184,Just Be Friends,Just Be Friends,-,Dixie Flatline,Dixie Flatline,128,niconico&ボーカロイド,maimai MURASAKi,-,1,4,7,9,11+,-,6-Jun-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
185,LOL -lots of laugh-,LOL -lots of laugh-,-,KeN/Endcape,KeN/エンドケイプ,138,niconico&ボーカロイド,maimai PiNK,-,2,4,6,8+,10+,-,21-Jan-2016,-,Yes,-,,,,,,,,,,,,,,,,,,,,
186,I'll Miku-Miku You♪ (For Reals),みくみくにしてあげる♪【してやんよ】,-,ika,ika,160,niconico&ボーカロイド,maimai ORANGE PLUS,-,2,4,6,7+,10+,-,19-Mar-2015,-,Yes,-,,,,,,,,,,,,,,,,,,,,
187,Sweet Devil,Sweet Devil,-,8＃Prince,八王子P,132,niconico&ボーカロイド,maimai ORANGE PLUS,-,2,4,6,9+,11,-,16-Jul-2015,-,Yes,-,,,,,,,,,,,,,,,,,,,,
188,Clover♣Club,クローバー♣クラブ,-,Yuuyu,ゆうゆ,150,niconico&ボーカロイド,maimai ORANGE PLUS,-,2,4,6,8,12,-,14-May-2015,-,Yes,-,,,,,,,,,,,,,,,,,,,,
189,Deep-Sea Girl,深海少女,Shinkai Shoujo,yuuyu,ゆうゆ,137,niconico&ボーカロイド,maimai GreeN PLUS,-,2,4,6,8,11+,-,4-Sep-2014,-,Yes,-,,,,,,,,,,,,,,,,,,,,
190,SPiCa,SPiCa,-,tokuP,とくP,162,niconico&ボーカロイド,maimai GreeN PLUS,-,2,4,6,8,11,-,20-Mar-2014,-,Yes,-,,,,,,,,,,,,,,,,,,,,
191,POPIPO,ぽっぴっぽー,-,(not identified),(not identified),150,niconico&ボーカロイド,maimai GreeN,-,2,3,6,8,11,-,14-Nov-2013,-,Yes,-,,,,,,,,,,,,,,,,,,,,
192,Nyan Cat EX,Nyan Cat EX,-,daniwell,daniwell,150,niconico&ボーカロイド,maimai GreeN,-,2,4,7,9+,12,-,9-Jan-2014,-,Yes,-,,,,,,,,,,,,,,,,,,,,
193,What Do You Mean!?,どういうことなの！？,Dou Iu Koto Na No!?,KuchibashiP,くちばしP,175,niconico&ボーカロイド,maimai ORANGE PLUS,-,2,4,7,9+,12,-,16-Jul-2015,-,Yes,-,,,,,,,,,,,,,,,,,,,,
194,Doushite Kou Natta,どうしてこうなった,What The Heck Has Happened?,UDONGERGE,うどんゲルゲ,180,niconico&ボーカロイド,maimai ORANGE PLUS,-,2,5,7,9+,12,-,16-Jul-2015,-,Yes,-,,,,,,,,,,,,,,,,,,,,
195,Double Lariat,ダブルラリアット,-,Agoaniki,アゴアニキ,138,niconico&ボーカロイド,maimai ORANGE,-,2,4,5,9,12,-,18-Sep-2014,-,Yes,-,,,,,,,,,,,,,,,,,,,,
196,magician's operation,magician's operation,-,EZFG,EZFG,125,niconico&ボーカロイド,maimai GreeN PLUS,-,2,4,7,10,12,-,20-Mar-2014,-,Yes,-,,,,,,,,,,,,,,,,,,,,
197,Turkish March - OWATA＼(^o^)／,トルコ行進曲 - オワタ＼(^o^)／,-,OWATA-P,オワタP,120,niconico&ボーカロイド,maimai GreeN,-,2,3,6,8,12,-,11-Jul-2013,-,Yes,-,,,,,,,,,,,,,,,,,,,,
198,Lily Lily★Burning Night,リリリリ★バーニングナイト,-,samfree,samfree,165,niconico&ボーカロイド,maimai GreeN PLUS,-,2,4,7,8,9+,-,17-Jul-2014,-,Yes,-,,,,,,,,,,,,,,,,,,,,
199,IAIA★NIGHT OF DESIRE,イアイア★ナイトオブデザイア,-,samfree,samfree,162,niconico&ボーカロイド,maimai GreeN,-,2,4,6,8,9+,-,5-Sep-2013,-,Yes,-,,,,,,,,,,,,,,,,,,,,
200,LukaLuka★Night Fever,ルカルカ★ナイトフィーバー,-,samfree,samfree,160,niconico&ボーカロイド,maimai,-,3,4,6,7+,10,-,11-Jul-2012,-,Yes,-,,,,,,,,,,,,,,,,,,,,
201,MeguMegu☆Fire Endless Night,メグメグ☆ファイアーエンドレスナイト,-,samfree,samfree,162,niconico&ボーカロイド,maimai,-,2,5,6,7,9+,-,11-Jul-2012,-,Yes,-,,,,,,,,,,,,,,,,,,,,
202,Teach Me Magical Lyrics!,教えて!! 魔法のLyric,-,ChomP <advanced mix>,ちょむP <advanced mix>,180,niconico&ボーカロイド,maimai,-,2,6,7,8,9+,-,11-Jul-2012,-,Yes,-,,,,,,,,,,,,,,,,,,,,
203,ochamekinou,おちゃめ機能,-,gojimajiP,ゴジマジP,150,niconico&ボーカロイド,maimai PLUS,-,2,4,7,7,11,-,13-Dec-2012,-,Yes,-,,,,,,,,,,,,,,,,,,,,
204,BAD∞END∞NIGHT,BAD∞END∞NIGHT,-,Hitoshizuku×Yama△,ひとしずくP・やま△,204,niconico&ボーカロイド,maimai PLUS,-,2,4,7+,9,11+,-,13-Dec-2012,-,Yes,-,,,,,,,,,,,,,,,,,,,,
205,shake it!,shake it!,-,emon,emon,130,niconico&ボーカロイド,maimai ORANGE,-,2,4,6,7,10+,-,13-Nov-2014,-,Yes,-,,,,,,,,,,,,,,,,,,,,
206,Heart Beats,Heart Beats,-,himawari × emon(Tes.),向日葵×emon(Tes.),128,niconico&ボーカロイド,maimai ORANGE,-,2,5,6,8,10,-,5-Feb-2015,-,Yes,-,,,,,,,,,,,,,,,,,,,,
207,Sweetiex2,Sweetiex2,-,Dixie Flatline,Dixie Flatline,125,niconico&ボーカロイド,maimai PLUS,-,2,4,6,7,9+,-,13-Dec-2012,-,Yes,-,,,,,,,,,,,,,,,,,,,,
208,Romeo and Cinderella,ロミオとシンデレラ,-,doriko,doriko,170,niconico&ボーカロイド,maimai PLUS,-,2,5,7+,9,10+,12,13-Dec-2012,8-Sep-2016,Yes,-,,,,,,,,,,,,,,,,,,,,
209,HAPPY SYNTHESIZER,ハッピーシンセサイザ,-,EasyPop,EasyPop,127,niconico&ボーカロイド,maimai,-,2,4,6,8,10+,-,11-Jul-2012,-,Yes,-,,,,,,,,,,,,,,,,,,,,
210,Dancing☆Samurai,ダンシング☆サムライ,-,mathru(KanimisoP),mathru(かにみそP),142,niconico&ボーカロイド,maimai PLUS,-,2,4,7,9,10+,-,13-Dec-2012,-,Yes,-,,,,,,,,,,,,,,,,,,,,
211,Haro／Hawayu,ハロ／ハワユ,Hello / How are you,nanou,ナノウ,95,niconico&ボーカロイド,maimai GreeN PLUS,-,1,4,5,8,10+,-,4-Sep-2014,-,Yes,-,,,,,,,,,,,,,,,,,,,,
212,Tell Your World,Tell Your World,-,livetune,livetune,150,niconico&ボーカロイド,maimai PLUS,-,1,4,6,8+,10+,11,7-Mar-2013,8-Sep-2016,Yes,-,,,,,,,,,,,,,,,,,,,,
213,Hand in Hand,Hand in Hand,-,livetune,livetune,128,niconico&ボーカロイド,maimai PiNK PLUS,-,2,4,6,8+,11,-,31-Aug-2016,-,Yes,-,,,,,,,,,,,,,,,,,,,,
214,Unknown Mother-Goose,アンノウン・マザーグース,-,wowaka,wowaka,222,niconico&ボーカロイド,maimai MiLK,-,3,4,6,9+,11+,-,14-Dec-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
215,Unhappy Refrain,アンハッピーリフレイン,-,wowaka,wowaka,205,niconico&ボーカロイド,maimai ORANGE,-,3,5,7,10,12,-,18-Dec-2014,-,Yes,-,,,,,,,,,,,,,,,,,,,,
216,Uraomote Lovers,裏表ラバーズ,Two Faced Lovers,wowaka,wowaka,159,niconico&ボーカロイド,maimai GreeN,-,2,5,7,10,12,-,14-Nov-2013,-,Yes,-,,,,,,,,,,,,,,,,,,,,
217,Rollin'Girl,ローリンガール,-,wowaka,wowaka,195,niconico&ボーカロイド,maimai GreeN,-,2,4,6,8,11+,-,3-Oct-2013,-,Yes,-,,,,,,,,,,,,,,,,,,,,
218,WORLD'S END DANCE HALL,ワールズエンド・ダンスホール,-,wowaka,wowaka,171,niconico&ボーカロイド,maimai,-,3,5,7,7,10+,12,11-Jul-2012,13-Aug-2015,Yes,-,,,,,,,,,,,,,,,,,,,,
219,DUNE feat. Hatsune Miku,砂の惑星 feat. HATSUNE MIKU,-,Hachi,ハチ,95,niconico&ボーカロイド,maimai MiLK,-,2,4,6,9,12,-,14-Dec-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
220,DONUT HOLE,ドーナツホール,-,Hachi,ハチ,252,niconico&ボーカロイド,maimai MiLK,-,3,5,6,10,12+,-,6-Feb-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
221,MATRYOSHKA,マトリョシカ,-,Hachi,ハチ,205,niconico&ボーカロイド,maimai,-,3,5,7+,8,9+,11+,11-Jul-2012,14-May-2015,Yes,-,,,,,,,,,,,,,,,,,,,,
222,PANDA HERO,パンダヒーロー,-,Hachi,ハチ,190,niconico&ボーカロイド,maimai,-,2,5,6,8,9+,-,11-Jul-2012,-,Yes,-,,,,,,,,,,,,,,,,,,,,
223,Go Go Yureisen,ゴーゴー幽霊船,Go Go Ghost Ship,Kenshi Yonezu,米津玄師,180,niconico&ボーカロイド,maimai PLUS,-,2,4,7,9+,10,-,13-Dec-2012,-,Yes,-,,,,,,,,,,,,,,,,,,,,
224,Setsuna Trip,セツナトリップ,A Momentary Trip,Last Note.,Last Note.,145,niconico&ボーカロイド,maimai GreeN,-,2,4,6,9,12,-,9-Jan-2014,-,Yes,-,,,,,,,,,,,,,,,,,,,,
225,Houkago Stride,放課後ストライド,After-School Stride,Last Note.,Last Note.,225,niconico&ボーカロイド,maimai GreeN,-,2,4,7,9,11+,-,3-Oct-2013,-,Yes,-,,,,,,,,,,,,,,,,,,,,
226,Kagerou Days,カゲロウデイズ,-,Jin,じん,200,niconico&ボーカロイド,maimai GreeN,-,2,4,6,9+,11,13,11-Jul-2013,5-Jun-2018,Yes,-,,,,,,,,,,,,,,,,,,,,
227,Yobanashi Deceive,夜咄ディセイブ,-,Jin,じん,260,niconico&ボーカロイド,maimai GreeN,-,2,4,7+,10,12,-,5-Sep-2013,-,Yes,-,,,,,,,,,,,,,,,,,,,,
228,Outer Science,アウターサイエンス,-,Jin,じん,195,niconico&ボーカロイド,maimai MiLK,-,3,5,7,10+,12,-,5-Jun-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
229,MELANCHOLIC,メランコリック,-,junky,junky,140,niconico&ボーカロイド,maimai,-,3,6,6,7+,10,-,11-Jul-2012,-,Yes,-,,,,,,,,,,,,,,,,,,,,
230,ZIGG-ZAGG,ZIGG-ZAGG,-,junky,junky,138,niconico&ボーカロイド,maimai,-,3,6,6,7+,9,11,11-Jul-2012,11-Jul-2017,Yes,-,,,,,,,,,,,,,,,,,,,,
231,I ♥,I ♥,-,junky,junky,132,niconico&ボーカロイド,maimai GreeN,-,2,4,6,7+,10+,-,23-Jan-2014,-,Yes,-,,,,,,,,,,,,,,,,,,,,
232,LOVE CINO,ラブチーノ,-,Junky,Junky,126,niconico&ボーカロイド,maimai MURASAKi PLUS,-,2,4,6,8,10+,-,11-Jul-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
233,Sweet Magic,スイートマジック,-,Lon×Junky,ろん×Junky,123,niconico&ボーカロイド,maimai PLUS,-,2,4,6,9,10,-,13-Dec-2012,-,Yes,-,,,,,,,,,,,,,,,,,,,,
234,Ringo Karenka,林檎華憐歌,-,beatMARIO's Mother(Junko Ozaki),ビートまりお母（尾崎順子）,144,niconico&ボーカロイド,maimai GreeN PLUS,-,2,4,6,9+,11,-,26-Feb-2014,-,Yes,-,,,,,,,,,,,,,,,,,,,,
235,Kiborinamazu to Migikatazonbi,木彫り鯰と右肩ゾンビ,-,hanzo/SEKIHAN Vocal Ver,hanzo/赤飯歌唱Ver,150,niconico&ボーカロイド,maimai PiNK PLUS,-,2,5,7,9,12,-,17-Nov-2016,-,Yes,-,,,,,,,,,,,,,,,,,,,,
236,DEAD RED GIRLS,デッドレッドガールズ,-,MARUDARUMA,MARUDARUMA,230,niconico&ボーカロイド,maimai ORANGE PLUS,-,2,4,7+,9,12+,-,17-Sep-2015,-,Yes,-,,,,,,,,,,,,,,,,,,,,
237,One Step Ahead,One Step Ahead,-,Kashitaro Ito,伊東歌詞太郎,186,niconico&ボーカロイド,maimai ORANGE,-,2,4,6,9,10+,-,18-Sep-2014,-,Yes,-,,,,,,,,,,,,,,,,,,,,
238,Link,Link,-,Circle of friends (天月-あまつき-・un:c・伊東歌詞太郎・コニー・はしやん),Circle of friends (天月-あまつき-・un:c・伊東歌詞太郎・コニー・はしやん),198,niconico&ボーカロイド,maimai ORANGE,-,2,5,7,7,10+,-,18-Sep-2014,-,Yes,-,,,,,,,,,,,,,,,,,,,,
239,Super Nuko Ni Naritai,すーぱーぬこになりたい,I Want to Be a Super Nuko,mafumafu,まふまふ,194,niconico&ボーカロイド,maimai MURASAKi,-,2,4,7,9,12,-,15-Dec-2016,-,Yes,-,,,,,,,,,,,,,,,,,,,,
240,BAD・DANCE・HALL,バッド・ダンス・ホール,-,panaman/karasuyasabou,ぱなまん/カラスヤサボ,152,niconico&ボーカロイド,maimai MURASAKi PLUS,-,2,4,6,9+,12,-,25-Jul-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
241,NAISEN NO UTA,ないせんのうた,-,naisen - momoco-,ナイセン - momoco-,184,niconico&ボーカロイド,maimai MURASAKi PLUS,-,1,4,6,9,11,-,5-Dec-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
242,The Synesthesia Ghost,共感覚おばけ,-,sasanomary,ササノマリイ,184,niconico&ボーカロイド,maimai MiLK,-,2,4,6,9,11+,-,6-Mar-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
243,Nonsense Literature,ナンセンス文学,-,Eve,Eve,154,niconico&ボーカロイド,maimai MiLK,-,2,4,7,9+,12,-,6-Mar-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
244,Charles,シャルル,-,Balloon,バルーン,145,niconico&ボーカロイド,maimai MiLK,-,2,4,6,8,11+,-,5-Jun-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
245,Last Brutal Sister Flandre S,最終鬼畜妹フランドール・S,-,beatMARIO(COOL&CREATE),ビートまりお (COOL&CREATE),200,東方Project,maimai FiNALE,-,3,4,7,9+,10+,12+,24-May-2019,-,Yes,-,,,,,,,,,,,,,,,,,,,,
246,Necrofantasia~Arr.Demetori,ネクロファンタジア ～ Arr.Demetori,-,Demetori,Demetori,180,東方Project,maimai FiNALE,-,3,4,7,10,12,-,24-May-2019,-,Yes,-,,,,,,,,,,,,,,,,,,,,
247,Imperishable Night 2006 (2016 Refine),Imperishable Night 2006 (2016 Refine),-,yuuyu_ssry,ゆうゆ / 篠螺悠那,161,東方Project,maimai FiNALE,-,3,5,7+,10,12+,-,24-May-2019,-,Yes,-,,,,,,,,,,,,,,,,,,,,
248,[Toho nicokara]Secret God Matara feat.TAMAONSEN[IOSYS],【東方ニコカラ】秘神マターラ feat.魂音泉【IOSYS】,-,ARM (IOSYS),ARM (IOSYS),168,東方Project,maimai FiNALE,-,2,4,7,10,12+,-,22-Feb-2019,-,Yes,-,,,,,,,,,,,,,,,,,,,,
249,White Traveling Girl,White Traveling Girl,-,A-One,A-One,154,東方Project,maimai FiNALE,-,2,4,6,9,12,-,22-Feb-2019,-,Yes,-,,,,,,,,,,,,,,,,,,,,
250,Inzen,隠然,Hidden,BUTAOTOME,豚乙女,210,東方Project,maimai FiNALE,-,3,5,7+,9+,11,12,22-Feb-2019,-,Yes,-,,,,,,,,,,,,,,,,,,,,
251,Crazy Crazy Dancers,クレイジークレイジーダンサーズ,-,beatMARIO + Amane(COOL&CREATE),ビートまりお＋あまね（COOL&CREATE）,172,東方Project,maimai FiNALE,-,2,4,7,9,10+,12+,22-Feb-2019,-,Yes,-,,,,,,,,,,,,,,,,,,,,
252,Fusigi-no-kuni no Christmas,不思議の国のクリスマス,-,SOUND HOLIC feat. 3L,SOUND HOLIC feat. 3L,128,東方Project,maimai FiNALE,-,2,4,5,8,11+,-,25-Dec-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
253,Money Money,Money Money,-,Akatsuki records,暁Records,145,東方Project,maimai FiNALE,-,2,4,6,9,12,-,13-Dec-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
254,CYBER Sparks,CYBER Sparks,-,Tatsh,Tatsh,192,東方Project,maimai MiLK PLUS,-,3,5,7,10,10+,12+,4-Sep-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
255,Rebellion of the Dwarfs,進め！イッスン軍団 -Rebellion of the Dwarfs-,-,dawn-system,dawn-system,172,東方Project,maimai MiLK PLUS,-,3,5,7+,9+,12+,-,3-Jul-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
256,LOVE EAST,LOVE EAST,-,Akatsuki records,暁Records,168,東方Project,maimai MiLK PLUS,-,2,4,6,9,11,-,21-Jun-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
257,WARNING×WARNING×WARNING,WARNING×WARNING×WARNING,-,Akatsuki records,暁Records,172,東方Project,maimai MiLK,-,2,4,7,9,11,-,8-May-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
258,"Utakata, Ai No Mahoroba",泡沫、哀のまほろば,"Ephemeral, Great and Splendid Land of Grief",Yuuhei Satellite,幽閉サテライト,155,東方Project,maimai MiLK,-,2,4,6,8+,11,-,14-Dec-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
259,Kachoufugetsu,華鳥風月,Beauties of Nature,Yuuhei Satellite,幽閉サテライト,123,東方Project,maimai MURASAKi PLUS,-,1,3,5,8,11,-,22-Jun-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
260,Iro Ha Nioedo Chirinuruwo,色は匂へど散りぬるを,The Gensokyo the Gods Loved,Yuuhei Satellite,幽閉サテライト,138,東方Project,maimai MURASAKi,-,2,3,6,8,11,-,15-Dec-2016,-,Yes,-,,,,,,,,,,,,,,,,,,,,
261,Tsuki Ni Murakumo Hana Ni Kaze,月に叢雲華に風,"Clouds Over the Moon, Flowers in the Wind ; Clouds Over the Moon, Wind Over the Flowers",Yuuhei Satellite,幽閉サテライト,160,東方Project,maimai PiNK PLUS,-,2,4,6,8+,11+,-,30-Jun-2016,-,Yes,-,,,,,,,,,,,,,,,,,,,,
262,Doll Judgment,Doll Judgment,-,Nuruhachi,ぬるはち,230,東方Project,maimai MiLK,-,3,4,7+,10,12,-,8-May-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
263,Eternal Melody,永遠のメロディ,-,R-note(Yellow Zebra),あ～るの～と（いえろ～ぜぶら）,155,東方Project,maimai MiLK,-,2,4,6,8+,10+,-,8-May-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
264,MOU MINNA SHINEBA IINONI.,もうみんなしねばいいのに,-,Raku Taniya,谷屋楽,180,東方Project,maimai MiLK,-,3,5,7,10+,12+,-,6-Feb-2018,-,Yes,-,,,,,,,,,,,,,,,,,,,,
265,Syukudai ga owaranai!,宿題が終わらないっ！,-,"Innocent Key & Yuri Nashimoto, JUNICA, Mao Komiya, Shion Itsuki, Ai Ohsera",Innocent Keyと梨本悠里、JUNCA、小宮真央、樹詩音、大瀬良あい,180,東方Project,maimai MURASAKi PLUS,-,2,4,6,8+,11+,-,22-Jun-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
266,Touhou Sweets! ~The Brutal Sisters and Suffering Maid~,東方スイーツ！～鬼畜姉妹と受難メイド～,The Cruel Sisters and the Suffering Maid,Innocent Key,Innocent Keyと小宮真央、ココ、樹詩音,179,東方Project,maimai ORANGE PLUS,-,2,4,6,9,11,-,16-Jul-2015,-,Yes,-,,,,,,,,,,,,,,,,,,,,
267,taboo tears you up,taboo tears you up,-,REDALiCE (HARDCORE TANO*C),REDALiCE (HARDCORE TANO*C),180,東方Project,maimai MURASAKi,-,3,5,7,9,11+,-,15-Dec-2016,-,Yes,-,,,,,,,,,,,,,,,,,,,,
268,Starlight Vision,Starlight Vision,-,Tsukasa feat. Aki Misawa,矢鴇つかさ feat. 三澤秋,180,東方Project,maimai MURASAKi,-,2,4,7,9+,11,-,11-May-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
269,Anything which was awakened to phantom-dusk,幽闇に目醒めしは,-,SEVENTH-HEAVEN MAXION,セブンスヘブンMAXION,120,東方Project,maimai MURASAKi,-,1,3,6,9,12,-,11-May-2017,-,Yes,-,,,,,,,,,,,,,,,,,,,,
