No.,Music(Eng),Music(JPN),Other name,Artist(Eng),Artist(JPN),BPM,Category,Version,Requirement,Easy,Basic,Advanced,Expert,Master,Re:Master,Add Date,Later Add Date,Rec. video,Memo,↓,Music(Eng),Music(JPN),Other name,Artist(Eng),Artist(JPN),BPM,Category,Version,Requirement,Easy,Basic,Advanced,Expert,Master,Re:Master,Add Date,Later Add Date,Memo,↑
24,-,PERFECT HUMAN,-,-,RADIO FISH,128,POPS&アニメ,maimai MURASAKi,-,1,4,6,8,11,-,15-Dec-2016,-,-,removal candidate,,LOVE DOKKYUN,LOVEドッきゅん♥,-,club Prince[cover],club Prince[cover],149,POPS&アニメ,maimai GreeN,-,2,4,6,9,10,-,11-Jul-2013,-,Removed(maimai PiNK PLUS),
25,SUSHITABETAI feat. SoySauce,SUSHI食べたい feat.ソイソース,-,ORANGE RANGE,ORANGE RANGE,135,POPS&アニメ,maimai MURASAKi,-,1,4,6,8+,11+,-,9-Mar-2017,-,-,removal candidate,,READO STEADY GO,READO STEADY GO,-,L'Arc～en～Ciel [cover],L'Arc～en～Ciel [cover],144,POPS&アニメ,maimai GreeN,-,2,4,6,9,10,-,11-Jul-2013,-,Removed(maimai PiNK PLUS),
26,Popmusic Wa Bokunomono,ポップミュージックは僕のもの,-,ONIGAWARA,ONIGAWARA,135,POPS&アニメ,maimai MURASAKi,-,2,4,6,8,12,-,9-Mar-2017,-,-,-,,memeshikute,女々しくて,-,GOLDEN BOMBER / ゴールデンボンバー [PV],GOLDEN BOMBER / ゴールデンボンバー [PV],143,POPS&アニメ,maimai GreeN,-,2,4,6,8,11,-,11-Jul-2013,-,Removed(maimai PiNK PLUS),
27,Kirasse! Wood Village Farm,きらっせ☆ウッド村ファーム,-,uno(IOSYS) feat.miko,uno(IOSYS) feat.miko,190,POPS&アニメ,maimai MURASAKi,-,3,5,7,8+,11,-,9-Mar-2017,-,Yes,-,,GO!!!,GO!!!,-, FLOW/「NARUTO」[cover], FLOW/「NARUTO」[cover],134,POPS&アニメ,maimai GreeN,-,3,4,6,8,10,-,11-Jul-2013,-,Removed(maimai PiNK PLUS),
28,NATSUMATSURI,夏祭り,-,Jitterin' Jinn [covered by Lon],Jitterin' Jinn [covered by ろん],141,POPS&アニメ,maimai PiNK PLUS,-,2,4,6,7,10,-,11-Aug-2016,-,Yes,-,,Thesis of Cruel Angel,残酷な天使のテーゼ,-,高橋洋子 [cover],高橋洋子 [cover],128,POPS&アニメ,maimai GreeN,-,1,4,6,7,9,-,11-Jul-2013,-,Removed(maimai PiNK PLUS),
29,fake!fake!,fake!fake!,-,A crow is white,カラスは真っ白,156,POPS&アニメ,maimai PiNK PLUS,-,2,4,7,8+,11+,-,30-Jun-2016,-,Yes,-,,galaxias!,galaxias!,-,galaxias! [PV],galaxias! [PV],123,niconico&ボーカロイド,maimai GreeN,-,2,4,6,8,10,-,11-Jul-2013,-,Removed(maimai PiNK PLUS),
30,HIMITSU SPARK,HIMITSUスパーク,-,A crow is white,カラスは真っ白,156,POPS&アニメ,maimai PiNK,-,2,4,6,8+,11+,-,10-Dec-2015,-,Yes,-,,Tachyon,Tachyon,-,mamenoi (MANYO＆やなぎなぎ),mamenoi (MANYO＆やなぎなぎ),176,POPS&アニメ,maimai GreeN PLUS,-,2,3,7,8+,11,-,17-Jul-2014,-,Removed(maimai MURASAKi),
31,POP STAR,POP STAR,-,Ken Hirai [cover],平井堅 [cover],140,POPS&アニメ,maimai GreeN PLUS,-,1,4,6,7+,10,-,17-Jul-2014,-,Yes,-,,-,恋のヒメヒメぺったんこ,Koi no Hime Hime Pettanko ; Love of Hime Hime Pettanko ; Love Hime Song,-,姫野湖鳥(CV 田村ゆかり)「弱虫ペダル」,178,POPS&アニメ,maimai GreeN PLUS,-,2,4,6,7+,10,-,20-Mar-2014,-,Removed(maimai MURASAKi),
32,Love or Lies,Love or Lies,-,capsule [cover],capsule [cover],128,POPS&アニメ,maimai,-,2,4,6,8,10,-,11-Jul-2012,-,-,-,,RPG,RPG,-,SEKAI NO OWARI,SEKAI NO OWARI,135,POPS&アニメ,maimai GreeN PLUS,-,1,3,6,7+,9+,-,26-Feb-2014,-,Removed(maimai MURASAKi),
33,jelly,jelly,-,capsule [cover],capsule [cover],128,POPS&アニメ,maimai,-,2,4,7,7+,10+,-,11-Jul-2012,-,-,-,,-,リクライム,reclimb,-,ROOKiEZ is PUNK'D 「弱虫ペダル」 [アニメPV],188,POPS&アニメ,maimai GreeN PLUS,-,2,4,6,9,10+,-,26-Feb-2014,-,Removed(maimai MURASAKi),
34,Utsukushiku Moeru Mori,美しく燃える森,-,Tokyo Ska Paradise Orchestra [cover],東京スカパラダイスオーケストラ [cover],140,POPS&アニメ,maimai,-,2,4,6,7+,9+,-,11-Jul-2012,-,Yes,-,,GO MY WAY!!,GO MY WAY!!,-,ナムコエンジェル 「アイドルマスター」,ナムコエンジェル 「アイドルマスター」,180,ゲーム＆バラエティ,maimai GreeN PLUS,-,2,4,6,8,10,-,26-Feb-2014,-,Removed(maimai MURASAKi),
35,Love You,Love You,-,Q;indivi [cover],Q;indivi [cover],135,POPS&アニメ,maimai,-,2,5,6,8,10,-,11-Jul-2012,-,Yes,-,,THE IDOLM@STER 2nd-mix,THE IDOLM@STER 2nd-mix,-,ナムコエンジェル 「アイドルマスター」,ナムコエンジェル 「アイドルマスター」,168,ゲーム＆バラエティ,maimai GreeN PLUS,-,2,4,7,9,9+,-,26-Feb-2014,-,Removed(maimai MURASAKi),
36,come again,come again,-,m-flo [cover],m-flo [cover],130,POPS&アニメ,maimai,-,2,5,6,8+,10,-,11-Jul-2012,-,Yes,-,,The world is all one !!,The world is all one !!,-,ナムコエンジェル 「アイドルマスター」,ナムコエンジェル 「アイドルマスター」,167,ゲーム＆バラエティ,maimai GreeN PLUS,-,1,4,5,7+,9,-,26-Feb-2014,-,Removed(maimai MURASAKi),
37,Future,Future,-,★STAR GUiTAR [cover],★STAR GUiTAR [cover],130,POPS&アニメ,maimai,-,3,6,6,7+,9,11,11-Jul-2012,13-Aug-2015,Yes,-,,Sabrina,サブリナ,-,家入レオ [PV],家入レオ [PV],136,POPS&アニメ,maimai PLUS,-,2,4,6,8,11,-,13-Dec-2012,-,Removed(maimai MURASAKi),
38,caramelldansen,ウッーウッーウマウマ(ﾟ∀ﾟ),-,Caramell/Caramelldansen [cover],Caramell/Caramelldansen [cover],164,POPS&アニメ,maimai,-,3,5,7,8,11+,-,11-Jul-2012,-,-,-,,Wonderland Wars Opening,Wonderland Wars オープニング,-,「童話」は、全て「戦記」だった,「童話」は、全て「戦記」だった,70,???,maimai PiNK,-,0,0,0,0,0,0,1-Apr-2016,1-Apr-2019,Removed(Due to event ending),
39,NIGHT OF FIRE,NIGHT OF FIRE,-,NIKO [cover],NIKO [cover],155,POPS&アニメ,maimai,-,3,6,7,8+,10,-,11-Jul-2012,-,Yes,-,,Family Party,ファミリーパーティー,-,Kyarypamyupamyu / きゃりーぱみゅぱみゅ [PV],Kyarypamyupamyu / きゃりーぱみゅぱみゅ [PV],142,POPS&アニメ,maimai ORANGE,-,1,4,6,7,10+,-,18-Sep-2014,-,Removed(maimai MURASAKi PLUS),
40,YATTA!,YATTA!,-,Happa-tai [cover],はっぱ隊 [cover],133,POPS&アニメ,maimai GreeN PLUS,-,1,3,6,8,10,-,26-Feb-2014,-,Yes,-,,みかんのうた,みかんのうた,Mikan no uta ; Song of Oranges,SEX MACHINEGUNS [cover],SEX MACHINEGUNS [cover],288,POPS&アニメ,maimai ORANGE,-,2,4,6,9,12,-,18-Sep-2014,-,Removed(maimai MURASAKi PLUS),
41,1/3 No Junjou Na Kanjou,1/3の純情な感情,-,SIAM SHADE [covered by yuge],SIAM SHADE ［covered by 湯毛］,152,POPS&アニメ,maimai ORANGE PLUS,-,2,5,6,8+,10+,-,16-Jul-2015,-,-,-,,Oideyo! Yousei no mori,おいでよ！妖精の森,-,「gdgd妖精s」,「gdgd妖精s」,220,POPS&アニメ,maimai ORANGE,-,2,4,6,9,11,-,18-Sep-2014,-,Removed(maimai MURASAKi PLUS),
42,Balalaika,バラライカ,-,Performed by Takenobu Mitsuyoshi,Performed by 光吉猛修,140,POPS&アニメ,maimai GreeN PLUS,-,2,4,6,8,10,-,17-Jul-2014,-,Yes,-,,Get Off of My Way,Get Off of My Way,-,MAN WITH A MISSION [PV],MAN WITH A MISSION [PV],135,POPS&アニメ,maimai PLUS,-,2,5,6,10+,10+,-,13-Dec-2012,-,Removed(maimai MURASAKi PLUS),
43,WAKAICHIKARA -SEGA HARD GIRLS MIX-,若い力 -SEGA HARD GIRLS MIX-,-,"SC-3000(Mai Aizawa),SG-1000(Yu Serizawa),SG-1000Ⅱ(Naomi Ozora),GAMEGEAR(Minami Tanaka)、ROBO-PITCHER(Haruna Momono)“Hi☆sCoool!Sehagirl” [Animetion PV]",SC-3000(シーさん)/CV.相沢 舞、SG-1000(せん)/CV.芹澤 優、SG-1000Ⅱ(せんつー)/CV.大空直美、ゲームギア(ムギ)/CV.田中美海、ロボピッチャ(ぴっちゃん)/CV.もものはるな「Hi☆sCoool! セハガール」[アニメPV],162,POPS&アニメ,maimai ORANGE PLUS,-,2,4,6,8,11,11+,4-Jun-2015,22-Sep-2016,Yes,-,,love circulation,恋愛サーキュレーション,-,「化物語」 [cover],「化物語」 [cover],120,POPS&アニメ,maimai,-,2,4,6,7+,9+,-,11-Jul-2012,-,Removed(maimai MURASAKi PLUS),
